Names,Players,Year ,Month,Day
SC Ganguly,Batter,1972,july,8
BB McCullum,Batter,1981,September,27
RT Ponting,Batter,1974,Decenber,19
DJ Hussey,Batter,1977,July,15
Mohammad Hafeez,Batter,1980,October,17
R Dravid,Batter,1973,January,11
W Jaffer,Batter,1978,February,16
V Kohli,Batter,1988,November,5
JH Kallis,All_Rounder,1975,October,16
CL White,Batter,1983,August,18
MV Boucher,Batter,1976,December,3
B Akhil,All_Rounder,1977,October,7
AA Noffke,Bowler,1977,April,30
P Kumar,Bowler,1986,October,2
Z Khan,Bowler,1978,October,8
SB Joshi,All_Rounder,1970,June,6
PA Patel,Batter,1985,March,9
ML Hayden,Batter,1971,October,29
MEK Hussey,Batter,1975,May,27
MS Dhoni,Batter,1981,july,7
SK Raina,All_Rounder,1986,November,27
JDP Oram,All_Rounder,1978,July,28
S Badrinath,Batter,1980,August,30
K Goel,Batter,1986,December,24
JR Hopes,Bowler,1978,October,24
KC Sangakkara,Batter,1977,October,27
Yuvraj Singh,All_Rounder,1981,December,12
SM Katich,Batter,1975,August,21
IK Pathan,All_Rounder,1984,October,27
T Kohli,All_Rounder,1988,December,17
YK Pathan,All_Rounder,1982,November,17
SR Watson,All_Rounder,1981,June,17
M Kaif,Batter,1980,December,1
DS Lehmann,Batter,1970,February,5
RA Jadeja,All_Rounder,1988,December,6
M Rawat,Batter,1985,October,25
D Salunkhe,All_Rounder,1982,November,12
SK Warne,Bowler,1969,September,13
SK Trivedi,Batter,1982,September,4
G Gambhir,Batter,1981,October,14
V Sehwag,Batter,1978,October,20
S Dhawan,Batter,1985,December,5
AC Gilchrist,Batter,1971,November,14
Y Venugopal Rao,All_Rounder,1982,February,26
VVS Laxman,Batter,1974,November,1
A Symonds,All_Rounder,1975,June,9
RG Sharma,Batter,1987,April,30
SB Styris,All_Rounder,1985,July,10
AS Yadav,Bowler,1990,September,14
SB Bangar,All_Rounder,1972,October,11
WPUJC Vaas,Bowler,1974,January,27
RP Singh,Bowler,1985,December,6
WP Saha,Batter,1984,October,24
LR Shukla,All_Rounder,1981,May,6
L Ronchi,Batter,1981,April,23
ST Jayasuriya,All_Rounder,1969,June,30
DJ Thornely,Batter,1978,October,1
RV Uthappa,All_Rounder,1985,November,11
PR Shah,Batter,1987,November,3
AM Nayar,All_Rounder,1983,October,8
SM Pollock,All_Rounder,1973,July,16
Harbhajan Singh,Bowler,1980,July,3
S Chanderpaul,Batter,1974,August,16
